chat_id,role,message,keywords
1,Customer,My system is freezing after a recent update.,"['freezing', 'freezing recent', 'recent update', 'update', 'recent']"
2,Customer,My system is slowing down after a recent update.,"['slowing', 'slowing recent', 'recent update', 'update', 'recent']"
3,Customer,My system is freezing after installing new drivers.,"['freezing installing', 'new drivers', 'freezing', 'drivers', 'installing new']"
4,Customer,What is Dell SupportAssist?,"['dell supportassist', 'dell', 'supportassist']"
5,Customer,How do I fix slow performance?,"['slow performance', 'fix slow', 'performance', 'slow', 'fix']"
6,Customer,How do I fix blue screen?,"['blue screen', 'fix blue', 'screen', 'blue', 'fix']"
7,Customer,My system is crashing after a recent update.,"['crashing', 'crashing recent', 'recent update', 'update', 'recent']"
8,Customer,Can you help me with ASUS MyASUS?,"['asus myasus', 'help asus', 'asus', 'myasus', 'help']"
9,Customer,Can you help me with Dell SupportAssist?,"['dell supportassist', 'help dell', 'dell', 'supportassist', 'help']"
10,Customer,How do I fix overheating?,"['fix overheating', 'overheating', 'fix']"
11,Customer,I'm getting a overheating on boot.,"['overheating boot', 'getting overheating', 'overheating', 'boot', 'getting']"
12,Customer,My system is slowing down after installing new drivers.,"['new drivers', 'slowing installing', 'slowing', 'drivers', 'installing new']"
13,Customer,Can you help me with ASUS MyASUS?,"['asus myasus', 'help asus', 'asus', 'myasus', 'help']"
14,Customer,How do I fix overheating?,"['fix overheating', 'overheating', 'fix']"
15,Customer,What is Lenovo Vantage?,"['lenovo vantage', 'lenovo', 'vantage']"
16,Customer,What is Lenovo Vantage?,"['lenovo vantage', 'lenovo', 'vantage']"
17,Customer,How do I fix overheating?,"['fix overheating', 'overheating', 'fix']"
18,Customer,How do I fix no sound?,"['fix sound', 'sound', 'fix']"
19,Customer,How do I fix blue screen?,"['blue screen', 'fix blue', 'screen', 'blue', 'fix']"
20,Customer,My system is freezing after a recent update.,"['freezing', 'freezing recent', 'recent update', 'update', 'recent']"
21,Customer,What is ASUS MyASUS?,"['asus myasus', 'myasus', 'asus']"
22,Customer,What is ASUS MyASUS?,"['asus myasus', 'myasus', 'asus']"
23,Customer,Can you help me with ASUS MyASUS?,"['asus myasus', 'help asus', 'asus', 'myasus', 'help']"
24,Customer,Can you help me with Dell SupportAssist?,"['dell supportassist', 'help dell', 'dell', 'supportassist', 'help']"
25,Customer,I'm getting a blue screen on boot.,"['blue screen', 'screen boot', 'getting blue', 'boot', 'blue']"
26,Customer,I'm getting a blue screen on shutdown.,"['blue screen', 'screen shutdown', 'shutdown', 'getting blue', 'blue']"
27,Customer,What is Lenovo Vantage?,"['lenovo vantage', 'lenovo', 'vantage']"
28,Customer,How do I fix overheating?,"['fix overheating', 'overheating', 'fix']"
29,Customer,How do I fix fan error?,"['fan error', 'fix fan', 'fan', 'error', 'fix']"
30,Customer,Can you help me with Dell SupportAssist?,"['dell supportassist', 'help dell', 'dell', 'supportassist', 'help']"
31,Customer,My system is freezing after a recent update.,"['freezing', 'freezing recent', 'recent update', 'update', 'recent']"
32,Customer,Can you help me with ASUS MyASUS?,"['asus myasus', 'help asus', 'asus', 'myasus', 'help']"
33,Customer,Can you help me with Lenovo Vantage?,"['lenovo vantage', 'help lenovo', 'lenovo', 'vantage', 'help']"
34,Customer,How do I fix fan error?,"['fan error', 'fix fan', 'fan', 'error', 'fix']"
35,Customer,My system is slowing down after a recent update.,"['slowing', 'slowing recent', 'recent update', 'update', 'recent']"
36,Customer,Can you help me with HP Smart?,"['hp smart', 'help hp', 'hp', 'smart', 'help']"
37,Customer,What is HP Smart?,"['hp smart', 'hp', 'smart']"
38,Customer,How do I fix no sound?,"['fix sound', 'sound', 'fix']"
39,Customer,Can you help me with Dell SupportAssist?,"['dell supportassist', 'help dell', 'dell', 'supportassist', 'help']"
40,Customer,My system is crashing after installing new drivers.,"['crashing', 'new drivers', 'crashing installing', 'drivers', 'installing new']"
41,Customer,Can you help me with Lenovo Vantage?,"['lenovo vantage', 'help lenovo', 'lenovo', 'vantage', 'help']"
42,Customer,I'm getting a blue screen on startup.,"['blue screen', 'screen startup', 'startup', 'getting blue', 'blue']"
43,Customer,My system is freezing after installing new drivers.,"['freezing installing', 'new drivers', 'freezing', 'drivers', 'installing new']"
44,Customer,How do I fix overheating?,"['fix overheating', 'overheating', 'fix']"
45,Customer,Can you help me with HP Smart?,"['hp smart', 'help hp', 'hp', 'smart', 'help']"
46,Customer,Can you help me with HP Smart?,"['hp smart', 'help hp', 'hp', 'smart', 'help']"
47,Customer,My system is slowing down after a recent update.,"['slowing', 'slowing recent', 'recent update', 'update', 'recent']"
48,Customer,How do I fix blue screen?,"['blue screen', 'fix blue', 'screen', 'blue', 'fix']"
49,Customer,Can you help me with ASUS MyASUS?,"['asus myasus', 'help asus', 'asus', 'myasus', 'help']"
